repo,stars,forks,open_issues,commits_count,pulls_count,issues_count
codecrafters-io/build-your-own-x,424692,39838,436,154,490,843
sindresorhus/awesome,405062,31790,68,138,2211,357
public-apis/public-apis,367621,38690,591,324,3621,739
jwasham/coding-interview-university,330695,80842,86,671,1026,521
donnemartin/system-design-primer,322132,52586,519,10,605,344
996icu/996.ICU,274478,21043,16695,115,1992,0
vinta/awesome-python,262992,26392,492,56,2079,0
kamranahmedse/developer-roadmap,339720,43058,197,5127,5505,2971
EbookFoundation/free-programming-books,371716,64612,114,2526,10805,998
freeCodeCamp/freeCodeCamp,429758,41917,295,7592,41680,2825
